procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  31884 109368  30504 631340    0    0    20     4  850  513  8 12 80  0  0
 0  0  31884 109368  30504 631340    0    0    16     4  810  538  5 19 76  0  0
 0  0  31884 109368  30504 631340    0    0    16     4  372  383  4  5 91  0  0
 0  0  31884 109368  30512 631344    0    0    16    80  627  461  5  9 84  1  0
 0  0  31884 109368  30512 631344    0    0    16     4  704  462  6 11 83  0  0
 0  0  31884 109368  30512 631344    0    0    16     4  824  466  8 13 78  0  0
 0  0  31884 109368  30512 631344    0    0    16     4  497  431  5  8 87  0  0
 0  0  31884 109368  30512 631348    0    0    16     4  388  420  6  5 89  0  0
 0  0  31884 109368  30520 631352    0    0    16    56  566  469  5  9 86  0  0
 0  0  31884 109368  30520 631352    0    0    16     4  531  463  5 10 85  0  0
 0  0  31884 109368  30520 631352    0    0    16     4  758  497  5 15 79  0  0
 0  0  31884 109368  30520 631356    0    0    16     4  331  380  4  6 90  0  0
 0  0  31884 109368  30520 631356    0    0    16   496  402  392  4  4 92  0  0
 0  0  31884 109368  30528 631356    0    0    16    64  760  503  5 16 78  0  0
 1  0  31884 109368  30528 631356    0    0    16     4  556  412  6  7 87  0  0
 0  0  31884 109368  30528 631364    0    0    16     4  914  485  7 15 78  0  0
 0  0  31884 109368  30528 631364    0    0    16     4  748  499  4 13 83  0  0
 0  0  31884 109368  30528 631368    0    0    16     8  177  465  8  0 92  0  0
 1  0  31884 109368  30536 631368    0    0    16    72  560  501  5 11 84  0  0
 0  0  31884 109368  30536 631368    0    0    20     4  208  422  6  2 92  0  0
 0  0  31884 109368  30536 631368    0    0    20     4  289  394  6  3 91  0  0
 0  0  31884 107856  30536 631368    0    0    20     4 1181 1005 26 20 55  0  0
 0  0  31884 107856  30536 631368    0    0    20     4  176  377  4  2 94  0  0
 1  0  31884 107856  30544 631372    0    0    24    80  400  508  5  6 89  0  0
 0  0  31884 107856  30544 631376    0    0    20     4  364  423  4  8 88  0  0
 0  0  31884 107856  30544 631376    0    0    20     4  843  499  8 10 81  0  0
 1  0  31884 107856  30544 631376    0    0    20     4  178  376  5  2 93  0  0
 1  0  31884 107856  30544 631376    0    0     0    20  610  389  3 11 86  0  0
 1  0  31884 107856  30552 631372    0    0    20    68  556  433  4 10 86  0  0
 0  0  31884 107856  30552 631380    0    0     0     0  256  283  4  1 95  0  0
 1  0  31884 107856  30552 631380    0    0    20     4  895  547  7 16 77  0  0
 0  0  31884 107856  30552 631384    0    0    20     4  492  476  5 10 85  0  0
 0  0  31884 107856  30552 631388    0    0    20    36  172  375  4  0 96  0  0
 0  0  31884 108108  30560 631388    0    0    20    84  979  542  6 16 76  1  0
